,pid,grp,duration
0,0,Begin,1
0,0,Mexico,4
0,0,Begin,1
1,1,Begin,1
1,1,Mexico,4
1,1,Begin,1
2,2,Begin,1
2,2,US,4
2,2,Begin,1
3,3,Begin,1
3,3,Other,4
3,3,Begin,1
4,4,Begin,1
4,4,Other,4
4,4,Begin,1
5,5,Begin,1
5,5,Other,4
5,5,Begin,1
6,6,Begin,1
6,6,Other,4
6,6,Begin,1
7,7,Begin,1
7,7,Mexico,4
7,7,Begin,1
8,8,Begin,1
8,8,Mexico,4
8,8,Begin,1
9,9,Begin,1
9,9,Mexico,4
9,9,Begin,1
10,10,Begin,1
10,10,Other,4
10,10,Begin,1
11,11,Begin,1
11,11,Colombia,4
11,11,Begin,1
12,12,Begin,1
12,12,Mexico,4
12,12,Begin,1
13,13,Begin,1
13,13,Other,4
13,13,Begin,1
14,14,Begin,1
14,14,Mexico,4
14,14,Begin,1
15,15,Begin,1
15,15,Brazil,4
15,15,Begin,1
16,16,Begin,1
16,16,Peru,4
16,16,Begin,1
17,17,Begin,1
17,17,Mexico,4
17,17,Begin,1
18,18,Begin,1
18,18,Mexico,4
18,18,Begin,1
19,19,Begin,1
19,19,Peru,4
19,19,Begin,1
20,20,Begin,1
20,20,Other,4
20,20,Begin,1
21,21,Begin,1
21,21,Mexico,4
21,21,Begin,1
22,22,Begin,1
22,22,Brazil,4
22,22,Begin,1
23,23,Begin,1
23,23,Other,4
23,23,Begin,1
24,24,Begin,1
24,24,Peru,4
24,24,Begin,1
25,25,Begin,1
25,25,Other,4
25,25,Begin,1
26,26,Begin,1
26,26,Peru,4
26,26,Begin,1
27,27,Begin,1
27,27,Brazil,4
27,27,Begin,1
28,28,Begin,1
28,28,Peru,4
28,28,Begin,1
29,29,Begin,1
29,29,Mexico,4
29,29,Begin,1
30,30,Begin,1
30,30,Mexico,4
30,30,Begin,1
31,31,Begin,1
31,31,Peru,4
31,31,Begin,1
32,32,Begin,1
32,32,Other,4
32,32,Begin,1
33,33,Begin,1
33,33,Peru,4
33,33,Begin,1
34,34,Begin,1
34,34,Mexico,4
34,34,Begin,1
35,35,Begin,1
35,35,Other,4
35,35,Begin,1
36,36,Begin,1
36,36,Peru,4
36,36,Begin,1
37,37,Begin,1
37,37,Peru,4
37,37,Begin,1
38,38,Begin,1
38,38,Mexico,4
38,38,Begin,1
39,39,Begin,1
39,39,Mexico,4
39,39,Begin,1
40,40,Begin,1
40,40,Brazil,4
40,40,Begin,1
41,41,Begin,1
41,41,Mexico,4
41,41,Begin,1
42,42,Begin,1
42,42,Other,4
42,42,Begin,1
43,43,Begin,1
43,43,Other,4
43,43,Begin,1
44,44,Begin,1
44,44,Peru,4
44,44,Begin,1
45,45,Begin,1
45,45,US,4
45,45,Begin,1
46,46,Begin,1
46,46,Other,4
46,46,Begin,1
47,47,Begin,1
47,47,Chile,4
47,47,Begin,1
48,48,Begin,1
48,48,Peru,4
48,48,Begin,1
49,49,Begin,1
49,49,US,4
49,49,Begin,1
50,50,Begin,1
50,50,Peru,4
50,50,Begin,1
51,51,Begin,1
51,51,Other,4
51,51,Begin,1
52,52,Begin,1
52,52,Colombia,4
52,52,Begin,1
53,53,Begin,1
53,53,Peru,4
53,53,Begin,1
54,54,Begin,1
54,54,Other,4
54,54,Begin,1
55,55,Begin,1
55,55,Peru,4
55,55,Begin,1
56,56,Begin,1
56,56,Mexico,4
56,56,Begin,1
57,57,Begin,1
57,57,Peru,4
57,57,Begin,1
58,58,Begin,1
58,58,US,4
58,58,Begin,1
59,59,Begin,1
59,59,Other,4
59,59,Begin,1
60,60,Begin,1
60,60,Mexico,4
60,60,Begin,1
61,61,Begin,1
61,61,Other,4
61,61,Begin,1
62,62,Begin,1
62,62,Mexico,4
62,62,Begin,1
63,63,Begin,1
63,63,Peru,4
63,63,Begin,1
64,64,Begin,1
64,64,Other,4
64,64,Begin,1
65,65,Begin,1
65,65,US,4
65,65,Begin,1
66,66,Begin,1
66,66,Brazil,4
66,66,Begin,1
67,67,Begin,1
67,67,Chile,4
67,67,Begin,1
68,68,Begin,1
68,68,US,4
